PlasticMaterialID,IDVatLieuNhua,TypeVL,T,W,L,ThanhPhanAN,ThanhPhanSI,NhaSXVL,GroupVL,AN,SI,ghichuVl,IDDrawingVer
1,1,PS(N),0.3,520,600,TRUE,FALSE,,PS,AN,,,
2,2,PS(N),0.38,405,550,FALSE,FALSE,,PS,AN,,,
3,3,PS(N),0.38,520,500,TRUE,FALSE,,PS,AN,,,
4,4,PS(N),0.48,405,400,TRUE,FALSE,,PS,AN,,,
5,5,PS(N),0.48,405,400,TRUE,TRUE,,PS,AN,Si,,
6,6,PS(N),0.48,520,400,FALSE,FALSE,,PS,AN,,,
7,7,PS(N),0.48,550,400,TRUE,FALSE,,PS,AN,,,
8,8,PS(N),0.58,405,350,TRUE,TRUE,,PS,AN,Si,,
9,9,PS(N),0.58,405,350,TRUE,FALSE,,PS,AN,,,
10,10,PS(N),0.58,435,350,TRUE,TRUE,,PS,AN,Si,,
11,11,PS(N),0.58,520,350,TRUE,FALSE,,PS,AN,,,
12,12,PS(N),0.58,520,350,TRUE,TRUE,,PS,AN,Si,,
13,13,PS(N),0.58,520,350,TRUE,TRUE,,PS,AN,Si,,
14,14,PS(N),0.58,550,350,TRUE,FALSE,,PS,AN,,,
15,15,PS(N),0.58,640,300,FALSE,TRUE,,PS,,Si,,
16,16,PS(N),0.68,435,300,TRUE,TRUE,,PS,AN,Si,,
17,17,PS(N),0.68,640,250,FALSE,TRUE,,PS,,Si,,
18,18,PS(N),0.78,405,250,TRUE,TRUE,,PS,AN,Si,,
19,19,PS(N),0.78,405,250,TRUE,FALSE,,PS,AN,,,
20,20,PS(N),0.78,435,300,TRUE,TRUE,,PS,AN,Si,,
21,21,PS(N),0.78,520,250,TRUE,FALSE,,PS,AN,,,
22,22,PS(N),0.78,520,250,TRUE,TRUE,,PS,AN,Si,,
23,23,PS(N),0.78,550,250,TRUE,TRUE,,PS,AN,Si,,
24,24,PS(N),0.78,405,200,TRUE,TRUE,,PS,AN,Si,,
25,25,PS(N),0.98,435,250,TRUE,TRUE,,PS,AN,Si,,
26,26,PS(N),0.98,520,200,TRUE,FALSE,,PS,AN,,,
27,27,PS(N),0.98,520,200,TRUE,TRUE,,PS,AN,Si,,
28,28,PS(N),0.98,550,200,TRUE,FALSE,,PS,AN,,,
29,29,PS(N),0.98,550,200,TRUE,TRUE,,PS,AN,Si,,
30,30,PS(N),1.08,405,200,TRUE,FALSE,,PS,AN,,,
31,31,PS(N),1.18,435,200,TRUE,FALSE,,PS,AN,,,
32,32,PS(N),1.18,520,200,TRUE,FALSE,,PS,AN,,,
33,33,PS(N),1.48,520,155,TRUE,TRUE,,PS,AN,Si,,
34,34,PS(CL),0.48,520,400,TRUE,FALSE,,PS,AN,,,
35,35,PS(CL),0.78,405,250,TRUE,FALSE,,PS,AN,,,
36,36,PS(CL),0.98,440,200,TRUE,TRUE,,PS,AN,Si,,
37,37,PS(CL),1,450,200,FALSE,TRUE,,PS,,Si,,
38,38,PS(CL),1,400,200,FALSE,TRUE,,PS,,Si,,
39,39,PS(茶）,0.78,435,250,TRUE,TRUE,,PS,AN,Si,,
40,40,PS(茶）,0.78,520,,TRUE,TRUE,,PS,AN,Si,,
41,41,PS(導電),0.48,420,400,FALSE,FALSE,,PS（導電）,,,,
42,42,PS(導電),0.48,550,400,FALSE,FALSE,,PS（導電）,,,,
43,43,PS(導電),0.58,420,350,FALSE,FALSE,,PS（導電）,,,,
44,44,PS(導電),0.58,485,350,FALSE,FALSE,,PS（導電）,,,,
45,45,PS(導電),0.68,640,200,FALSE,FALSE,マルアイ,PS（導電）,,,,
46,46,ミクロム,0.7,640,170,FALSE,FALSE,,PS（導電）,,,,
47,47,PS(導電）,0.78,405,250,FALSE,FALSE,,PS（導電）,,,,
48,48,PS(導電）,0.78,435,250,FALSE,FALSE,,PS（導電）,,,,
49,49,PS(導電）,0.78,520,250,FALSE,FALSE,,PS（導電）,,,,
50,50,PS(導電）,0.98,405,250,FALSE,FALSE,VN,PS（導電）,,,,
51,51,PS(緑）,0.98,550,150,FALSE,FALSE,マルアイ,PS（導電）,,,,
52,52,ミクロム,1,640,,FALSE,FALSE,,PS（導電）,,,,
53,53,PS(導電),1.18,435,200,FALSE,FALSE,,PS（導電）,,,,
54,54,PS(導電),1.18,520,200,FALSE,FALSE,,PS（導電）,,,,
55,55,PS(導電),1.48,520,100,FALSE,FALSE,,PS（導電）,,,,
56,56,PP(N),0.38,405,500,TRUE,FALSE,,PP,AN,,,
57,57,PP(N),0.38,520,500,TRUE,FALSE,,PP,AN,,,
58,58,PP(N),0.38,565,500,TRUE,TRUE,,PP,AN,Si,,
59,59,PP(N),0.48,405,400,TRUE,FALSE,,PP,AN,,,
60,60,PP(N),0.48,520,400,TRUE,FALSE,,PP,AN,,,
61,61,PP(N),0.48,550,400,TRUE,FALSE,,PP,AN,,,
62,62,PP(N),0.5,640,300,FALSE,FALSE,共栄,PP,,,,
63,63,PP(N),0.58,405,350,TRUE,FALSE,,PP,AN,,,
